GID_1,GID_2,POP_ZONE,YEAR,LLPC,LLPC_PCT_CHANGE,LOG_LUMINOSITY_SUM,LUMINOSITY_PCT_CHANGE,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,ECON_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.3_1,VNM.3.3_1,urban,2015,5.242513689117713e-05,5.802869520697285,9.307256744765391,72.45744757074884,3.1086250784330582,1.8159224215505976,0.00025656342829969846,-6.085114351236321,177534.23828125,0.3938938310693807,77.32857617490488,38.246098499456835,Bac Giang,Northern Midlands and Mountain Areas,Lang Giang,#F05223
VNM.3_1,VNM.3.4_1,rural,2018,9.70353113893177e-05,,6.531702285395742,31.080455640685823,-0.4028712804269863,-4.098614803253941,0.0011223199341541376,,67312.6328125,,,,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,rural,2015,7.444947860346244e-05,3.3705527883279407,5.122421925832629,28.097119092868873,3.2538163656979036,3.3271746807485014,0.0012003763688268135,-7.141723721007997,68804.0,1.6532818571144858,59.47151753249467,31.45530714150892,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,rural,2016,8.213388099397055e-05,10.321633589185053,5.64515853302833,68.66370027862068,-1.3566330345844868,-4.44113645139036,0.001235956906841422,2.9641151674272948,68731.1796875,-0.10583732413813607,61.72472698278124,66.55080989743453,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,rural,2019,0.00010126445834510403,23.291943738221565,6.936166035605719,49.84987149399933,4.174081767082205,1.6284340901513428,0.0010811935917746792,-12.52174037865541,68495.5625,-0.34280975326086427,62.66876505333982,46.87430508529994,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,rural,2017,9.26620194687145e-05,-8.495022851031175,6.2610611715088655,85.13269245172464,-1.073855871706919,6.377975638033573,0.0011260507562984056,4.148855937085005,67568.796875,-1.3530301689251734,60.25596652941147,40.86291031235923,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,total,2018,4.2629617999920825e-05,,8.666141098746133,,,,0.0005870094282240507,,203289.203735352,,,,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,total,2019,4.426638909649357e-05,3.839516217517569,8.986366755279034,-6.400360289644047,1.6776236542739298,0.5943520441498373,0.0005772645067145367,-1.6600962507529848,203006.546020508,-0.13904216734105246,49.53504230520999,64.35638041322999,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,total,2015,3.9514755012778576e-05,5.538082971432234,8.030900136231896,-36.000751966179,2.4771446694688226,-2.1270868896931527,0.0006376117593162838,-5.791103708567569,203238.009033203,0.17253005734041427,48.9587577198856,47.362044776147805,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,total,2017,4.1659055334459334e-05,5.426581339014547,8.477198988400888,-66.90767354445894,8.935299297933197,1.363336584745256,0.0005887014728724024,-7.67085702690432,203489.947631836,0.12396234337830325,44.48809133873005,34.28595103678007,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,total,2016,4.012579776329522e-05,-3.680490493253785,8.161890540065771,76.03555270793898,1.9135001688680653,-1.7234288792930763,0.0006574175928674123,11.672489905576233,203407.558105469,-0.040488253756909565,66.05793078340804,59.28641962656499,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,urban,2018,6.301532827007512e-05,,8.540420671254331,19.5341491657949,-0.386278482326452,-3.8706687457562117,0.00032307054542030523,,135529.2578125,,,,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,urban,2019,6.598303537284512e-05,4.709500345774309,8.848730993813813,36.11233106753182,3.9977749610744295,1.5234405016415487,0.0003216160042583549,-0.45022400914265237,134106.15234375,-1.0500356098155694,60.64773849283213,64.0850889941142,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,urban,2017,6.173282007854336e-05,-6.441375832871898,8.36198875961671,32.837402207107026,-1.2287824092001576,6.1463632803546275,0.00032267716845845313,0.3299475728968382,135454.5078125,1.0054389341465964,65.50150411056595,38.38317556703378,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.4_1,urban,2015,5.9519724780945605e-05,-3.5849573934610635,7.975140632345216,56.246145647742,3.185634903111101,2.0980928386342246,0.00035073355483291067,8.694878075351031,133991.5576171875,-1.0800306456670739,61.04015897719013,54.69760978812224,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
